Spel;Deltagare;Guld;Silver;Brons;Totalt;Nationsplac.
2024 Paris;119;4;4;3;11;16
2020 Tokyo;137;3;6;0;9;23
2016 Rio;167;2;6;3;11;29
2012 London;135;1;4;3;8;28
2008 Peking;123;0;4;1;5;26
2004 Aten;115;4;2;1;7;23
2000 Sydney;150;4;5;3;12;20
1996 Atlanta;177;2;4;2;8;22
1992 Barcelona;187;1;7;4;12;19
1988 Seoul;185;0;4;7;11;20
1984 Los Angeles;174;2;11;6;19;11
1980 Moskva;145;3;3;6;12;12
1976 Montreal;116;4;1;0;5;18
1972 München;131;4;6;6;16;13
1968 Mexico City;100;2;1;1;4;18
1964 Tokyo;94;2;2;4;8;14
1960 Rom;134;1;2;3;6;13
1956 Melbourne/Sthlm;97;8;5;6;19;8
1952 Helsingfors;206;12;13;10;35;4
1948 London;174;17;11;18;46;2
1936 Berlin;150;6;5;10;21;5
1932 Los Angeles;52;10;5;9;24;4
1928 Amsterdam;100;7;6;12;25;4
1924 Paris;159;4;13;12;29;5
1920 Antwerpen;261;19;20;25;64;2
1912 Stockholm;448;23;24;16;63;1
1908 London;169;8;6;11;25;3
1906 Aten;39;2;5;7;14;7
1904 Saint Louis;0;0;0;0;0;-
1900 Paris;10;0.5;0;1;1.5;17
1896 Aten;1;0;0;0;0;-
